,Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000,year
4,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",3.0,0,1.0,2,3,3,3,3.0,2,3,2016
5,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",3.0,0,2.0,3,4,3,4,4.0,2,3,2016
6,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",6.0,0,1.0,3,4,5,4,4.0,2,4,2016
7,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",4.0,0,2.0,3,3,3,3,4.0,2,3,2016
8,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",3.0,0,,2,2,3,3,3.0,2,2,2016
9,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",6.0,0,2.0,3,3,4,4,4.0,2,3,2016
10,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",3.0,0,1.0,2,2,3,3,3.0,2,3,2016
11,"Los Angeles County (East Central)--Pomona City PUMA, California",5.0,0,3.0,3,4,4,4,5.0,2,4,2016
12,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",3.0,0,1.0,3,3,4,4,4.0,2,3,2016
13,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",4.0,0,2.0,3,3,3,4,4.0,2,3,2016
14,"Los Angeles County (East Central)--West Covina City PUMA, California",5.0,0,1.0,3,3,4,4,4.0,2,3,2016
15,"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",6.0,0,,3,4,5,5,4.0,3,4,2016
16,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",4.0,0,2.0,2,3,3,3,3.0,2,3,2016
17,"Los Angeles County (Central)--Pasadena City PUMA, California",3.0,0,1.0,2,2,2,2,2.0,2,3,2016
18,"Los Angeles County (Central)--Glendale City PUMA, California",3.0,0,2.0,2,2,3,3,3.0,2,2,2016
19,"Los Angeles County (Central)--Burbank City PUMA, California",3.0,0,2.0,2,3,2,3,3.0,2,2,2016
