city,city_ascii,state_id,lat,lng
Riverbank,Riverbank,CA,37.7268,-120.9402
North Tustin,North Tustin,CA,33.7644,-117.7945
Lathrop,Lathrop,CA,37.809,-121.3131
Loma Linda,Loma Linda,CA,34.0451,-117.2498
Dinuba,Dinuba,CA,36.5453,-119.3987
Ashland,Ashland,CA,37.6942,-122.1159
San Fernando,San Fernando,CA,34.2886,-118.4363
Seal Beach,Seal Beach,CA,33.7542,-118.0714
Calabasas,Calabasas,CA,34.1375,-118.6689
Coronado,Coronado,CA,32.664,-117.16
Valinda,Valinda,CA,34.0401,-117.93
Half Moon Bay,Half Moon Bay,CA,37.4688,-122.4383
Rosemont,Rosemont,CA,38.5477,-121.3553
Oakdale,Oakdale,CA,37.7616,-120.847
Cudahy,Cudahy,CA,33.9631,-118.183
Winter Gardens,Winter Gardens,CA,32.8376,-116.9268
West Puente Valley,West Puente Valley,CA,34.0512,-117.9681
Granite Bay,Granite Bay,CA,38.7601,-121.1714
Patterson,Patterson,CA,37.4758,-121.1535
West Rancho Dominguez,West Rancho Dominguez,CA,33.9057,-118.2682
Laguna Beach,Laguna Beach,CA,33.5448,-117.7612
Willowbrook,Willowbrook,CA,33.9199,-118.2362
Marina,Marina,CA,36.6812,-121.7895
Corcoran,Corcoran,CA,36.0839,-119.561
Millbrae,Millbrae,CA,37.5994,-122.4023
Arvin,Arvin,CA,35.1944,-118.8306
West Carson,West Carson,CA,33.8229,-118.2931
Port Hueneme,Port Hueneme,CA,34.1617,-119.2036
Lakeside,Lakeside,CA,32.856,-116.904
Bloomington,Bloomington,CA,34.0601,-117.4013
Lennox,Lennox,CA,33.938,-118.3586
Rancho San Diego,Rancho San Diego,CA,32.7624,-116.9197
Shafter,Shafter,CA,35.4794,-119.2013
Ramona,Ramona,CA,33.0474,-116.8767
Duarte,Duarte,CA,34.161,-117.9504
Rosamond,Rosamond,CA,34.8658,-118.2154
Dixon,Dixon,CA,38.4468,-121.8249
South El Monte,South El Monte,CA,34.0493,-118.0484
American Canyon,American Canyon,CA,38.1796,-122.2583
Prunedale,Prunedale,CA,36.8064,-121.6555
Lomita,Lomita,CA,33.7933,-118.3175
Linda,Linda,CA,39.1241,-121.5421
Agoura Hills,Agoura Hills,CA,34.151,-118.7608
East Hemet,East Hemet,CA,33.7301,-116.941
Mead Valley,Mead Valley,CA,33.8333,-117.2852
La Ca̱ada Flintridge,La Canada Flintridge,CA,34.2097,-118.2002
South San Jose Hills,South San Jose Hills,CA,34.0123,-117.9041
Orinda,Orinda,CA,37.8808,-122.1791
Casa de Oro-Mount Helix,Casa de Oro-Mount Helix,CA,32.764,-116.9687
Albany,Albany,CA,37.8898,-122.3018
La Crescenta-Montrose,La Crescenta-Montrose,CA,34.2322,-118.2353
Blythe,Blythe,CA,33.622,-114.6188
Castaic,Castaic,CA,34.4818,-118.6317
Hermosa Beach,Hermosa Beach,CA,33.8654,-118.3966
Pinole,Pinole,CA,37.9931,-122.2834
Stevenson Ranch,Stevenson Ranch,CA,34.3894,-118.5885
Cameron Park,Cameron Park,CA,38.6737,-120.9872
Red Bluff,Red Bluff,CA,40.1735,-122.2413
Rancho Mirage,Rancho Mirage,CA,33.7634,-116.4271
Chowchilla,Chowchilla,CA,37.1095,-120.2349
Imperial,Imperial,CA,32.839,-115.5719
Mountain House,Mountain House,CA,37.774,-121.5452
Woodcrest,Woodcrest,CA,33.8789,-117.3686
Moraga,Moraga,CA,37.8439,-122.1225
Valle Vista,Valle Vista,CA,33.7436,-116.8872
Greenfield,Greenfield,CA,36.3232,-121.2451
Santa Fe Springs,Santa Fe Springs,CA,33.933,-118.0625
Nipomo,Nipomo,CA,35.0323,-120.4991
Lakeport,Lakeport,CA,39.0392,-122.9218
McKinleyville,McKinleyville,CA,40.9488,-124.0857
Coalinga,Coalinga,CA,36.143,-120.3262
Crescent City,Crescent City,CA,41.7727,-124.1902
Live Oak,Live Oak,CA,36.986,-121.9804
Rosedale,Rosedale,CA,35.3887,-119.2058
Truckee,Truckee,CA,39.3455,-120.1848
Lindsay,Lindsay,CA,36.2082,-119.0897
El Segundo,El Segundo,CA,33.9169,-118.4021
Bostonia,Bostonia,CA,32.8189,-116.9479
Artesia,Artesia,CA,33.8676,-118.0806
Solvang,Solvang,CA,34.5936,-120.1401
Los Osos,Los Osos,CA,35.3068,-120.8249
Ripon,Ripon,CA,37.7417,-121.131
Rio Linda,Rio Linda,CA,38.6876,-121.4418
Stanford,Stanford,CA,37.4252,-122.1674
East San Gabriel,East San Gabriel,CA,34.1198,-118.0807
Vincent,Vincent,CA,34.0982,-117.9238
Discovery Bay,Discovery Bay,CA,37.9071,-121.6076
Cherryland,Cherryland,CA,37.6792,-122.1038
Phelan,Phelan,CA,34.4398,-117.5248
Clearlake,Clearlake,CA,38.959,-122.633
Fillmore,Fillmore,CA,34.3989,-118.9181
Walnut Park,Walnut Park,CA,33.9683,-118.222
King City,King City,CA,36.2166,-121.133
Laguna Woods,Laguna Woods,CA,33.6098,-117.7299
Parkway,Parkway,CA,38.4993,-121.452
East Rancho Dominguez,East Rancho Dominguez,CA,33.895,-118.1956
McFarland,McFarland,CA,35.6781,-119.2414
Parlier,Parlier,CA,36.6087,-119.5434
La Palma,La Palma,CA,33.8504,-118.0406
Avocado Heights,Avocado Heights,CA,34.0381,-118.0026
Pacific Grove,Pacific Grove,CA,36.6192,-121.9255
Kerman,Kerman,CA,36.7249,-120.0625
Coto de Caza,Coto de Caza,CA,33.5961,-117.5862
Susanville,Susanville,CA,40.4205,-120.6129
Tehachapi,Tehachapi,CA,35.1274,-118.4749
Alamo,Alamo,CA,37.8546,-122.013
Taft,Taft,CA,35.1267,-119.4242
Livingston,Livingston,CA,37.3875,-120.7248
Alpine,Alpine,CA,32.8439,-116.7585
Lamont,Lamont,CA,35.2651,-118.9159
Lemon Hill,Lemon Hill,CA,38.5172,-121.4573
North Fair Oaks,North Fair Oaks,CA,37.4754,-122.2035
North Auburn,North Auburn,CA,38.9306,-121.0821
Mill Valley,Mill Valley,CA,37.9085,-122.5421
Salida,Salida,CA,37.7145,-121.087
California City,California City,CA,35.1578,-117.8721
Hawaiian Gardens,Hawaiian Gardens,CA,33.8303,-118.0728
El Sobrante,El Sobrante,CA,33.8724,-117.4625
Oak Park,Oak Park,CA,34.1849,-118.7669
Sun Village,Sun Village,CA,34.5596,-117.9559
Avenal,Avenal,CA,36.0311,-120.1162
Olivehurst,Olivehurst,CA,39.0817,-121.5549
Big Bear City,Big Bear City,CA,34.2536,-116.7903
Grover Beach,Grover Beach,CA,35.1204,-120.6199
Fortuna,Fortuna,CA,40.5862,-124.1419
Carpinteria,Carpinteria,CA,34.3962,-119.5118
Solana Beach,Solana Beach,CA,32.9942,-117.2575
Palos Verdes Estates,Palos Verdes Estates,CA,33.7871,-118.3976
San Marino,San Marino,CA,34.1224,-118.1132
Lakeland Village,Lakeland Village,CA,33.648,-117.3706
Bonita,Bonita,CA,32.6652,-117.0295
Commerce,Commerce,CA,33.9963,-118.1519
Grand Terrace,Grand Terrace,CA,34.0312,-117.3132
Muscoy,Muscoy,CA,34.155,-117.3477
San Anselmo,San Anselmo,CA,37.9821,-122.5699
Marysville,Marysville,CA,39.1518,-121.5835
Delhi,Delhi,CA,37.4306,-120.7759
Clayton,Clayton,CA,37.9403,-121.9301
Larkspur,Larkspur,CA,37.9393,-122.5313
Home Gardens,Home Gardens,CA,33.8784,-117.5116
Kingsburg,Kingsburg,CA,36.5245,-119.5602
Emeryville,Emeryville,CA,37.8382,-122.2932
Camp Pendleton South,Camp Pendleton South,CA,33.2284,-117.3791
Healdsburg,Healdsburg,CA,38.6229,-122.8651
Malibu,Malibu,CA,34.0368,-118.7845
Newman,Newman,CA,37.3157,-121.0211
Scotts Valley,Scotts Valley,CA,37.0555,-122.0118
View Park-Windsor Hills,View Park-Windsor Hills,CA,33.9955,-118.3484
Lake Los Angeles,Lake Los Angeles,CA,34.6097,-117.8339
Diamond Springs,Diamond Springs,CA,38.692,-120.8391
Mendota,Mendota,CA,36.7555,-120.3776
Tamalpais-Homestead Valley,Tamalpais-Homestead Valley,CA,37.8793,-122.5382
Alum Rock,Alum Rock,CA,37.3695,-121.8241
Magalia,Magalia,CA,39.8228,-121.6078
Signal Hill,Signal Hill,CA,33.8029,-118.1681
Los Alamitos,Los Alamitos,CA,33.7972,-118.0594
Hillsborough,Hillsborough,CA,37.5573,-122.3587
Winton,Winton,CA,37.3854,-120.6173
Canyon Lake,Canyon Lake,CA,33.6885,-117.2621
Piedmont,Piedmont,CA,37.8226,-122.23
Rossmoor,Rossmoor,CA,33.7886,-118.0803
Valley Center,Valley Center,CA,33.233,-117.0157
Orange Cove,Orange Cove,CA,36.6211,-119.3188
Soquel,Soquel,CA,36.9978,-121.9482
La Riviera,La Riviera,CA,38.5683,-121.3544
Sierra Madre,Sierra Madre,CA,34.1687,-118.0504
Farmersville,Farmersville,CA,36.3053,-119.2083
Anderson,Anderson,CA,40.4497,-122.295
Morro Bay,Morro Bay,CA,35.3681,-120.8481
Fairview,Fairview,CA,37.676,-122.048
San Diego Country Estates,San Diego Country Estates,CA,33.0093,-116.7874
Exeter,Exeter,CA,36.294,-119.1459
Oak Hills,Oak Hills,CA,34.3912,-117.4125
Shasta Lake,Shasta Lake,CA,40.679,-122.3775
Rodeo,Rodeo,CA,38.0368,-122.2526
Fort Bragg,Fort Bragg,CA,39.4399,-123.8013
East Whittier,East Whittier,CA,33.9244,-117.9887
Citrus,Citrus,CA,34.1161,-117.889
Charter Oak,Charter Oak,CA,34.1025,-117.8564
Capitola,Capitola,CA,36.9772,-121.9538
Quartz Hill,Quartz Hill,CA,34.6527,-118.2163
Del Aire,Del Aire,CA,33.9168,-118.3693
Country Club,Country Club,CA,37.9687,-121.3408
Garden Acres,Garden Acres,CA,37.9637,-121.2296
Orland,Orland,CA,39.7461,-122.1856
Fort Irwin,Fort Irwin,CA,35.2476,-116.6834
Madera Acres,Madera Acres,CA,37.0123,-120.0799
Marina del Rey,Marina del Rey,CA,33.9765,-118.4486
Mentone,Mentone,CA,34.0609,-117.1108
Corte Madera,Corte Madera,CA,37.9238,-122.5129
Rio Vista,Rio Vista,CA,38.1763,-121.7025
West Athens,West Athens,CA,33.9235,-118.3033
Rio del Mar,Rio del Mar,CA,36.9607,-121.8807
Waterford,Waterford,CA,37.6429,-120.7553
Blackhawk,Blackhawk,CA,37.816,-121.9071
Bishop,Bishop,CA,37.3665,-118.3958
Golden Hills,Golden Hills,CA,35.1512,-118.5024
Gridley,Gridley,CA,39.3622,-121.6971
Cloverdale,Cloverdale,CA,38.7961,-123.0151
Good Hope,Good Hope,CA,33.7706,-117.2772
Calimesa,Calimesa,CA,33.9874,-117.0542
Tiburon,Tiburon,CA,37.8854,-122.4637
